operator_name	table_number	type	paper_label	paper_expression	implementation_location	builder_function	wilson_coefficient	flavour_rank	hermiticity	implementation_status	confidence_level
EpWq	4	evanescent	E'_{Wq}	i (q̄_i (σ^I σ^{μν} /D - ←/D σ^{μν}σ^I ) q_j) W^I_{μν}	models/SMEFT/operators_evanescent.py	_ep	gamma_EpWq	2	Hermitian / self-conjugate	implemented	high
EpWtl	4	evanescent	E'_{Wtilde l}	i (ℓ̄_i (σ^I σ^{μν} /D - ←/D σ^{μν}σ^I ) ℓ_j) \tilde W^I_{μν}	models/SMEFT/operators_evanescent.py	_ept	gamma_EpWtl	2	Hermitian / self-conjugate	implemented	high
EpWtq	4	evanescent	E'_{Wtilde q}	i (q̄_i (σ^I σ^{μν} /D - ←/D σ^{μν}σ^I ) q_j) \tilde W^I_{μν}	models/SMEFT/operators_evanescent.py	_ept	gamma_EpWtq	2	Hermitian / self-conjugate	implemented	high
EuB	4	evanescent	E_{uB}	(q̄_i σ^{μν} u_j)  \tilde H  \tilde B_{μν} + h.c.	models/SMEFT/operators_evanescent.py	_euB	gamma_EuB	2	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	high
EuG	4	evanescent	E_{uG}	(q̄_i σ^{μν} T^A u_j)  \tilde H  \tilde G^A_{μν} + h.c.	models/SMEFT/operators_evanescent.py	_euG	gamma_EuG	2	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	high
EuH	4	evanescent	E_{uH}	(q̄_i σ^{μν} D_ρ u_j) D_σ  \tilde H ε_{μνρσ} + h.c.	models/SMEFT/operators_evanescent.py	_euH	gamma_EuH	2	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	high
EuW	4	evanescent	E_{uW}	(q̄_i σ^{μν} σ^I u_j)  \tilde H  \tilde W^I_{μν} + h.c.	models/SMEFT/operators_evanescent.py	_euW	gamma_EuW	2	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	high
E2_8qd	5	evanescent	E^{[2](8)}_{qd}	(q̄_i γ^{μν} T^A d_j)(d̄_k γ^{μν} T^A q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E2_8qd	4	Hermitian / self-conjugate	implemented	medium
E2_8qu	5	evanescent	E^{[2](8)}_{qu}	(q̄_i γ^{μν} T^A u_j)(ū_k γ^{μν} T^A q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E2_8qu	4	Hermitian / self-conjugate	implemented	medium
E2_8quqd	5	evanescent	E^{[2](8)}_{quqd}	(q̄_i γ^{μν} T^A u_j) ε_{rs} (q̄_k γ^{μν} T^A d_l) + h.c.	models/SMEFT/operators_evanescent.py	_b	gamma_E2_8quqd	4	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	medium
E2qd	5	evanescent	E^{[2]}_{qd}	(q̄_i γ^{μν} d_j)(d̄_k γ^{μν} q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E2qd	4	Hermitian / self-conjugate	implemented	medium
E2qu	5	evanescent	E^{[2]}_{qu}	(q̄_i γ^{μν} u_j)(ū_k γ^{μν} q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E2qu	4	Hermitian / self-conjugate	implemented	medium
E2quqd	5	evanescent	E^{[2]}_{quqd}	(q̄_i γ^{μν} u_j) ε_{rs} (q̄_k γ^{μν} d_l) + h.c.	models/SMEFT/operators_evanescent.py	_b	gamma_E2quqd	4	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	medium
E38qq	5	evanescent	E^{(3,8)}_{qq}	(q̄_i γ^μ T^A σ^I q_j)(q̄_k γ^μ T^A σ^I q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E38qq	4	Hermitian / self-conjugate	implemented	medium
E3_1qq	5	evanescent	E^{[3](1)}_{qq}	(q̄_i γ^{μνρ} q_j)(q̄_k γ^{μνρ} q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_1qq	4	Hermitian / self-conjugate	implemented	medium
E3_38qq	5	evanescent	E^{[3](3,8)}_{qq}	(q̄_i γ^{μνρ} T^A σ^I q_j)(q̄_k γ^{μνρ} T^A σ^I q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_38qq	4	Hermitian / self-conjugate	implemented	medium
E3_3qq	5	evanescent	E^{[3](3)}_{qq}	(q̄_i γ^{μνρ} σ^I q_j)(q̄_k γ^{μνρ} σ^I q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_3qq	4	Hermitian / self-conjugate	implemented	medium
E3_8dd	5	evanescent	E^{[3](8)}_{dd}	(d̄_i γ^{μνρ} T^A d_j)(d̄_k γ^{μνρ} T^A d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_8dd	4	Hermitian / self-conjugate	implemented	medium
E3_8qd	5	evanescent	E^{[3](8)}_{qd}	(q̄_i γ^{μνρ} T^A q_j)(d̄_k γ^{μνρ} T^A d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_8qd	4	Hermitian / self-conjugate	implemented	medium
E3_8qq	5	evanescent	E^{[3](8)}_{qq}	(q̄_i γ^{μνρ} T^A q_j)(q̄_k γ^{μνρ} T^A q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_8qq	4	Hermitian / self-conjugate	implemented	medium
E3_8qu	5	evanescent	E^{[3](8)}_{qu}	(q̄_i γ^{μνρ} T^A q_j)(ū_k γ^{μνρ} T^A u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_8qu	4	Hermitian / self-conjugate	implemented	medium
E3_8ud	5	evanescent	E^{[3](8)}_{ud}	(ū_i γ^{μνρ} T^A d_j)(d̄_k γ^{μνρ} T^A u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_8ud	4	Hermitian / self-conjugate	implemented	medium
E3_8uu	5	evanescent	E^{[3](8)}_{uu}	(ū_i γ^{μνρ} T^A u_j)(ū_k γ^{μνρ} T^A u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_8uu	4	Hermitian / self-conjugate	implemented	medium
E3dd	5	evanescent	E^{[3]}_{dd}	(d̄_i γ^{μνρ} d_j)(d̄_k γ^{μνρ} d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3dd	4	Hermitian / self-conjugate	implemented	medium
E3qd	5	evanescent	E^{[3]}_{qd}	(q̄_i γ^{μνρ} q_j)(d̄_k γ^{μνρ} d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3qd	4	Hermitian / self-conjugate	implemented	medium
E3qu	5	evanescent	E^{[3]}_{qu}	(q̄_i γ^{μνρ} q_j)(ū_k γ^{μνρ} u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3qu	4	Hermitian / self-conjugate	implemented	medium
E3ud	5	evanescent	E^{[3]}_{ud}	(ū_i γ^{μνρ} d_j)(d̄_k γ^{μνρ} u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3ud	4	Hermitian / self-conjugate	implemented	medium
E3uu	5	evanescent	E^{[3]}_{uu}	(ū_i γ^{μνρ} u_j)(ū_k γ^{μνρ} u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3uu	4	Hermitian / self-conjugate	implemented	medium
E8dd	5	evanescent	E^{(8)}_{dd}	(d̄_i γ^μ T^A d_j)(d̄_k γ^μ T^A d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E8dd	4	Hermitian / self-conjugate	implemented	medium
E8qd	5	evanescent	E^{(8)}_{qd}	(q̄_i 1 T^A d_j)(d̄_k 1 T^A q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E8qd	4	Hermitian / self-conjugate	implemented	medium
E8qq	5	evanescent	E^{(8)}_{qq}	(q̄_i γ^μ T^A q_j)(q̄_k γ^μ T^A q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E8qq	4	Hermitian / self-conjugate	implemented	medium
E8qu	5	evanescent	E^{(8)}_{qu}	(q̄_i 1 T^A u_j)(ū_k 1 T^A q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E8qu	4	Hermitian / self-conjugate	implemented	medium
E8ud	5	evanescent	E^{(8)}_{ud}	(ū_i γ^μ T^A d_j)(d̄_k γ^μ T^A u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E8ud	4	Hermitian / self-conjugate	implemented	medium
E8uu	5	evanescent	E^{(8)}_{uu}	(ū_i γ^μ T^A u_j)(ū_k γ^μ T^A u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E8uu	4	Hermitian / self-conjugate	implemented	medium
Ep3_8ud	5	evanescent	E'^{[3](8)}_{ud}	(ū_i γ^{μνρ} T^A u_j)(d̄_k γ^{μνρ} T^A d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Ep3_8ud	4	Hermitian / self-conjugate	implemented	medium
Ep3ud	5	evanescent	E'^{[3]}_{ud}	(ū_i γ^{μνρ} u_j)(d̄_k γ^{μνρ} d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Ep3ud	4	Hermitian / self-conjugate	implemented	medium
Eqd	5	evanescent	E_{qd}	(q̄_i 1 d_j)(d̄_k 1 q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Eqd	4	Hermitian / self-conjugate	implemented	medium
Equ	5	evanescent	E_{qu}	(q̄_i 1 u_j)(ū_k 1 q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Equ	4	Hermitian / self-conjugate	implemented	medium
Eud	5	evanescent	E_{ud}	(ū_i γ^μ d_j)(d̄_k γ^μ u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Eud	4	Hermitian / self-conjugate	implemented	medium
E2ld	6	evanescent	E^{[2]}_{ld}	(ℓ̄_i γ^{μν} d_j)(d̄_k γ^{μν} ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E2ld	4	Hermitian / self-conjugate	implemented	medium
E2ledq	6	evanescent	E^{[2]}_{ledq}	(ℓ̄_i γ^{μν} e_j)(d̄_k γ_{μν} q_l) + h.c.	models/SMEFT/operators_evanescent.py	_e2ledq	gamma_E2ledq	4	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	medium
E2lequ	6	evanescent	E^{[2]}_{lequ}	(ℓ̄_i γ^{μν} e_j) ε_{rs} (q̄_k γ^{μν} u_l) + h.c.	models/SMEFT/operators_evanescent.py	_b	gamma_E2lequ	4	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	medium
E2lu	6	evanescent	E^{[2]}_{lu}	(ℓ̄_i γ^{μν} u_j)(ū_k γ^{μν} ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E2lu	4	Hermitian / self-conjugate	implemented	medium
E2luqe	6	evanescent	E^{[2]}_{luqe}	(ℓ̄_i γ^{μν} u_j) ε_{rs} (q̄_k γ^{μν} e_l) + h.c.	models/SMEFT/operators_evanescent.py	_b	gamma_E2luqe	4	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	medium
E2qe	6	evanescent	E^{[2]}_{qe}	(q̄_i γ^{μν} e_j)(ē_k γ^{μν} q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E2qe	4	Hermitian / self-conjugate	implemented	medium
E3_3lq	6	evanescent	E^{[3](3)}_{lq}	(ℓ̄_i γ^{μνρ} σ^I ℓ_j)(q̄_k γ^{μνρ} σ^I q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_3lq	4	Hermitian / self-conjugate	implemented	medium
E3ed	6	evanescent	E^{[3]}_{ed}	(ē_i γ^{μνρ} d_j)(d̄_k γ^{μνρ} e_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3ed	4	Hermitian / self-conjugate	implemented	medium
E3eu	6	evanescent	E^{[3]}_{eu}	(ē_i γ^{μνρ} u_j)(ū_k γ^{μνρ} e_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3eu	4	Hermitian / self-conjugate	implemented	medium
E3ld	6	evanescent	E^{[3]}_{ld}	(ℓ̄_i γ^{μνρ} ℓ_j)(d̄_k γ^{μνρ} d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3ld	4	Hermitian / self-conjugate	implemented	medium
E3lq	6	evanescent	E^{[3]}_{lq}	(ℓ̄_i γ^{μνρ} q_j)(q̄_k γ^{μνρ} ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3lq	4	Hermitian / self-conjugate	implemented	medium
E3lq_1	6	evanescent	E^{(3)}_{lq}	(ℓ̄_i γ^μ σ^I q_j)(q̄_k γ^μ σ^I ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3lq_1	4	Hermitian / self-conjugate	implemented	medium
E3lu	6	evanescent	E^{[3]}_{lu}	(ℓ̄_i γ^{μνρ} ℓ_j)(ū_k γ^{μνρ} u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3lu	4	Hermitian / self-conjugate	implemented	medium
E3qe	6	evanescent	E^{[3]}_{qe}	(q̄_i γ^{μνρ} q_j)(ē_k γ^{μνρ} e_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3qe	4	Hermitian / self-conjugate	implemented	medium
Eed	6	evanescent	E_{ed}	(ē_i γ^μ d_j)(d̄_k γ^μ e_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Eed	4	Hermitian / self-conjugate	implemented	medium
Eeu	6	evanescent	E_{eu}	(ē_i γ^μ u_j)(ū_k γ^μ e_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Eeu	4	Hermitian / self-conjugate	implemented	medium
Eld	6	evanescent	E_{ld}	(ℓ̄_i 1 d_j)(d̄_k 1 ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Eld	4	Hermitian / self-conjugate	implemented	medium
Elq	6	evanescent	E_{lq}	(ℓ̄_i γ^μ q_j)(q̄_k γ^μ ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Elq	4	Hermitian / self-conjugate	implemented	medium
Elu	6	evanescent	E_{lu}	(ℓ̄_i 1 u_j)(ū_k 1 ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Elu	4	Hermitian / self-conjugate	implemented	medium
Eluqe	6	evanescent	E_{luqe}	(ℓ̄_i 1 u_j) ε_{rs} (q̄_k 1 e_l) + h.c.	models/SMEFT/operators_evanescent.py	_b	gamma_Eluqe	4	non-Hermitian (+ h.c. in compiled Lagrangian)	implemented	medium
Ep3_3lq	6	evanescent	E'^{[3](3)}_{lq}	(ℓ̄_i γ^{μνρ} σ^I ℓ_j)(q̄_k γ^{μνρ} σ^I q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Ep3_3lq	4	Hermitian / self-conjugate	implemented	medium
Ep3ed	6	evanescent	E'^{[3]}_{ed}	(ē_i γ^{μνρ} e_j)(d̄_k γ^{μνρ} d_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Ep3ed	4	Hermitian / self-conjugate	implemented	medium
Ep3eu	6	evanescent	E'^{[3]}_{eu}	(ē_i γ^{μνρ} e_j)(ū_k γ^{μνρ} u_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Ep3eu	4	Hermitian / self-conjugate	implemented	medium
Ep3lq	6	evanescent	E'^{[3]}_{lq}	(ℓ̄_i γ^{μνρ} ℓ_j)(q̄_k γ^{μνρ} q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Ep3lq	4	Hermitian / self-conjugate	implemented	medium
Eqe	6	evanescent	E_{qe}	(q̄_i 1 e_j)(ē_k 1 q_l)	models/SMEFT/operators_evanescent.py	_b	gamma_Eqe	4	Hermitian / self-conjugate	implemented	medium
E1_3ll	7	evanescent	E^{(3)}_{ll}	(ℓ̄_i γ^μ σ^I ℓ_j)(ℓ̄_k γ^μ σ^I ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E1_3ll	4	Hermitian / self-conjugate	implemented	medium
E3_3ll	7	evanescent	E^{[3](3)}_{ll}	(ℓ̄_i γ^{μνρ} σ^I ℓ_j)(ℓ̄_k γ^{μνρ} σ^I ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3_3ll	4	Hermitian / self-conjugate	implemented	medium
E3ee	7	evanescent	E^{[3]}_{ee}	(ē_i γ^{μνρ} e_j)(ē_k γ^{μνρ} e_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3ee	4	Hermitian / self-conjugate	implemented	medium
E3le	7	evanescent	E^{[3]}_{le}	(ℓ̄_i γ^{μνρ} ℓ_j)(ē_k γ^{μνρ} e_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3le	4	Hermitian / self-conjugate	implemented	medium
E3ll	7	evanescent	E^{[3]}_{ll}	(ℓ̄_i γ^{μνρ} ℓ_j)(ℓ̄_k γ^{μνρ} ℓ_l)	models/SMEFT/operators_evanescent.py	_b	gamma_E3ll	4	Hermitian / self-conjugate	implemented	medium
Ec2dd	8	evanescent	E^{c[2]}_{dd}	(d^c γ^{μν} d)(d̄ γ^{μν} d^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ec2dd	4	blocked / non-Hermitian handling unavailable	blocked	low
Ec2uu	8	evanescent	E^{c[2]}_{uu}	(u^c γ^{μν} u)(ū γ^{μν} u^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ec2uu	4	blocked / non-Hermitian handling unavailable	blocked	low
Ecdd	8	evanescent	E^{c}_{dd}	(d^c d)(d̄ d^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ecdd	4	blocked / non-Hermitian handling unavailable	blocked	low
Ecqq	8	evanescent	E^{c}_{qq}	(q^c q)(q̄ q^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ecqq	4	blocked / non-Hermitian handling unavailable	blocked	low
Ecuu	8	evanescent	E^{c}_{uu}	(u^c u)(ū u^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ecuu	4	blocked / non-Hermitian handling unavailable	blocked	low
Ec2ee	9	evanescent	E^{c[2]}_{ee}	(e^c γ^{μν} e)(ē γ^{μν} e^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ec2ee	4	blocked / non-Hermitian handling unavailable	blocked	low
Ecee	9	evanescent	E^{c}_{ee}	(e^c e)(ē e^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ecee	4	blocked / non-Hermitian handling unavailable	blocked	low
Ecll	9	evanescent	E^{c}_{ll}	(ℓ^c ℓ)(ℓ̄ ℓ^c) [representative blocked C-chain entry]	models/SMEFT/operators_evanescent.py	_b	gamma_Ecll	4	blocked / non-Hermitian handling unavailable	blocked	low
